 00600	714.02	  25140.5
 00625	515.17	  25022.9
 00650	483.40	  24944.6
 00675	419.84	  24308.2
 00700	371.86	  23501.5
 00725	350.67	  22747.5
 00750	335.48	  22036.2
 00775	322.62	  21336.6
 00800	315.44	  20736.5
 00825	310.30	  20143.8
 00850	307.34	  19591.8
 00875	304.22	  19047.8
 00925	297.34	  18079.4
 00975	297.07	  17180.0
 01100	284.14	  15295.9
 01200	287.80	  14087.8
 01300	283.59	  13045.3
 01400	283.02	  12149.0
 01500	280.73	  11370.6
 01600	279.89	  10678.8
 01700	278.10	  10086.0
 01800	274.44	   9540.5
 01900	276.53	   9063.0
 02000	276.40	   8628.3
 02100	272.17	   8237.7
 02200	271.23	   7878.1
 02300	275.13	   7548.0
 02400	275.54	   7245.5
 02500	270.93	   6968.8
 02600	274.41	   6713.0
 02700	274.23	   6472.4
 02800	273.78	   6257.0
 02900	273.48	   6050.6
 03000	273.11	   5859.5
 03100	273.01	   5679.4
 03200	272.81	   5508.8
 03300	272.53	   5352.5
 03400	268.73	   5205.2
 03500	268.80	   5065.9
