 00600	736.44	  23559.4
 00625	721.54	  23541.4
 00650	722.13	  23507.0
 00675	631.60	  23316.1
 00700	579.06	  23119.7
 00725	519.03	  22488.3
 00750	472.25	  21841.0
 00775	444.87	  21183.0
 00800	424.86	  20637.5
 00825	407.29	  20061.0
 00850	397.80	  19512.3
 00875	387.27	  18985.1
 00925	370.77	  18021.4
 00975	360.66	  17134.7
 01100	342.41	  15254.4
 01200	333.68	  14056.8
 01300	338.50	  13008.1
 01400	328.65	  12116.4
 01500	325.57	  11338.8
 01600	323.45	  10648.0
 01700	320.44	  10057.1
 01800	319.84	   9508.9
 01900	317.91	   9033.1
 02000	317.36	   8598.5
 02100	315.74	   8206.6
 02200	314.12	   7847.8
 02300	311.31	   7523.2
 02400	310.11	   7221.2
 02500	307.40	   6943.3
 02600	310.65	   6687.5
 02700	308.32	   6448.8
 02800	307.53	   6233.3
 02900	301.82	   6030.5
 03000	300.94	   5839.2
 03100	302.61	   5658.4
 03200	301.59	   5488.4
 03300	299.77	   5333.6
 03400	298.55	   5184.5
 03500	292.47	   5049.1
